"year","grid_pt","last_snow","snowmelt","snowmelt_est","Estimate","Est.Error","Q2.5","Q97.5"
"2010","4",166,173,169.5,180.353523507082,0.601619635227811,138.03400364136,222.780400786815
"2010","5",166,173,169.5,181.979315948073,0.604606914890953,139.572616492494,224.555293141817
"2010","6",166,173,169.5,180.231115116077,0.600413506056528,138.23237223167,222.489578324634
"2010","7",166,173,169.5,161.800591907663,0.605517745618059,119.148802460492,204.471934377045
"2010","8",166,173,169.5,159.483761036394,0.599406755816923,117.379362644084,201.774437105314
"2010","9",166,173,169.5,157.21213661684,0.601135638118774,114.969125665532,199.484704542084
"2010","10",138,145,141.5,109.74812064938,0.604822896179859,67.2217437868227,152.416738844316
"2010","11",180,187,183.5,191.901211045105,0.601901217625673,149.872929924818,234.08325433158
"2010","12",173,180,176.5,187.753335702054,0.60228985513358,145.461033955056,230.116447452742
"2010","13",173,180,176.5,198.392438780397,0.60704828935981,155.54896654998,240.738581416967
"2010","14",166,173,169.5,186.339462674487,0.602585775543977,144.227277444424,228.805484785445
"2010","15",166,173,169.5,182.00824918052,0.601412755459141,139.97678991892,224.436372552958
"2010","16",166,173,172.933995040287,172.933995040287,0.603450456423356,130.492970126382,215.918737350523
"2010","17",166,173,169.5,164.316236923072,0.601221699974851,122.163279769477,206.679123901831
"2010","18",166,173,169.5,145.555121738712,0.604993648604676,103.329040519057,188.368654192252
"2010","19",138,145,139.486066854913,139.486066854913,0.604835301550483,96.7917568791737,181.998115891025
"2010","20",138,145,141.5,114.299864031009,0.608251005999413,71.5887688630108,157.107907472638
"2010","21",180,187,183.5,193.274165389452,0.60043551814938,150.710667703815,235.547616130049
"2010","22",173,180,176.5,190.601636159976,0.607316901929911,148.085344990922,233.163793094726
"2010","23",173,180,176.5,198.740267260548,0.602732512139408,156.171533081146,241.28210720462
"2010","24",173,180,176.5,198.278953485695,0.600621429282719,156.246558576096,240.639801583032
"2010","25",166,173,169.5,179.431458616507,0.603428364573766,136.986414930058,221.931271327479
"2010","26",166,173,169.5,164.524704151997,0.603046304578988,122.084052986067,206.985426445753
"2010","27",166,173,169.582765326489,169.582765326489,0.60275647070076,126.925595122576,211.844410552935
"2010","28",166,173,171.956906089751,171.956906089751,0.601746012014721,130.015480655523,214.082880304952
"2010","29",166,173,169.5,140.110499879036,0.600904812832226,97.4821442943787,182.195690231408
"2010","30",166,173,169.5,120.517828036781,0.602184760152282,78.1896920857495,162.326817349434
"2010","31",173,180,176.5,187.756593183058,0.604103390421652,145.167315713953,230.035194193791
"2010","32",173,180,176.5,190.376794331608,0.601813819161274,148.295870294016,232.649315228204
"2010","33",173,180,176.5,196.901091755552,0.605272181627397,154.06509544833,239.619556521866
"2010","34",173,180,176.5,198.102898883478,0.604236915478483,155.322777267323,240.795401456508
"2010","35",173,180,176.5,196.608923181683,0.604194902593138,153.924747370323,238.843345591696
"2010","36",166,173,168.696964337696,168.696964337696,0.599016748626671,126.444239302331,210.975528974988
"2010","37",166,173,169.557032201631,169.557032201631,0.60504614777156,126.993133201062,211.919201926805
"2010","38",166,173,169.5,176.528316723369,0.602481922908835,134.09303838586,218.909487077435
"2010","39",166,173,169.5,145.133027579256,0.602817837511684,103.100173100257,187.598325093808
"2010","40",166,173,169.5,121.304786362469,0.606417709679307,78.474476437026,163.880459751606
"2010","41",173,180,176.5,188.077260881584,0.605269714133939,145.411568198786,230.353030183596
"2010","42",173,180,176.5,191.586069458204,0.603640381065432,148.784195334743,234.001808245095
"2010","43",173,180,176.5,201.570037625585,0.598918098254553,159.938705530108,243.445403080127
"2010","44",180,187,183.5,203.292233060246,0.607744856231286,160.418801820916,245.694905402578
"2010","45",180,187,183.5,207.174765582949,0.601390986934735,165.103867399072,249.362455211421
"2010","46",166,173,169.5,194.514111080313,0.604406865115389,152.079081415315,236.854509202579
"2010","47",166,173,169.60877243772,169.60877243772,0.603683044256215,127.077108873792,211.928755683597
"2010","48",166,173,169.5,150.848791594909,0.601042993277771,108.273697222436,192.847240208412
"2010","49",166,173,169.5,156.377715011501,0.601720362360218,114.072992502825,198.613977387942
"2010","50",166,173,169.5,132.935653560037,0.605379575905509,90.2892570339273,175.543627675862
"2010","51",166,173,169.5,181.681081430047,0.603811382398126,139.17025035742,223.908012338871
"2010","52",166,173,169.5,175.62333983034,0.600454238833205,133.296445737623,217.629973804674
